loser_age,loser_hand,loser_ioc,loser_rank,loser_rank_points,surface,tourney_level,winner_age,winner_hand,winner_ioc,winner_rank,winner_rank_points,year,games,id
17.30047912,R,CZE,142,189,Grass,G,20.92539357,L,FRA,28,1009,2000,2,280
24.77754962,R,PAR,84,376,Grass,G,23.09103354,R,THA,40,739,2000,2,282
26.0971937,R,NED,99,318,Grass,G,25.78781656,R,ESP,73,435,2000,3,283
24.37234771,R,NED,75,411,Grass,G,21.59342916,R,POL,80,390,2000,2,284
24,R,CZE,66,501,Grass,G,23.04996578,R,NED,186,131,2000,2,285
25.0294319,R,SWE,38,759,Grass,G,18.74880219,R,USA,8,2254,2000,2,286
32.69267625,R,FRA,7,2388,Grass,G,17.0513347,R,BEL,31,949,2000,3,287
24.43805613,R,BEL,124,225,Grass,G,18.96783025,R,RUS,43,712,2000,3,288
26.81177276,R,RSA,65,527,Grass,G,23.24435318,R,PUR,39,745,2000,2,289
19.65776865,R,BLR,110,279,Grass,G,29.0403833,L,ARG,72,449,2000,3,290
29.27583847,R,RSA,247,84,Grass,G,20.42984257,R,USA,126,223,2000,2,291
21.20465435,R,HUN,171,145,Grass,G,17.2073922,R,AUS,30,963,2000,2,293
20.97741273,R,FRA,13,1760,Grass,G,26.50787132,L,ESP,47,699,2000,3,294
24.07118412,R,USA,132,212,Grass,G,28.678987,R,RSA,12,1857,2000,2,295
28.16427105,R,ITA,56,613,Grass,G,22.22039699,R,USA,77,398,2000,3,296
22.36550308,L,HUN,51,660,Grass,G,19.52908966,R,USA,46,699,2000,2,297
16.15879535,R,RUS,103,305,Grass,G,27.79466119,R,NED,111,278,2000,3,300
26.34907598,L,GBR,209,108,Grass,G,21.32238193,L,ESP,49,691,2000,2,301
27.3100616,R,AUS,50,665,Grass,G,25.44558522,R,FRA,3,3494,2000,2,302
26.89938398,R,SVK,53,626,Grass,G,26.56536619,L,USA,6,2610,2000,3,303
26.091718,R,VEN,89,360,Grass,G,29.85078713,R,BEL,100,316,2000,2,304
